Date,SARIMAX,STL,Prophet,UCM,Theta,Ensemble,SARIMAX + Prophet (50% each),SARIMAX + STL + Theta (33% each)
2012-11-02,58861767.99891284,49475242.11256117,48048583.13481833,47202218.763909884,48553824.38670741,50428327.27938193,53455175.566865586,52296944.832727134
2012-11-09,48611411.150487304,49267844.07051457,49680412.09539356,46978791.07247213,48643724.99677475,48636436.67712846,49145911.622940436,48840993.405925535
2012-11-16,46937075.89477117,47209227.32035657,51810441.39107446,50401083.1610111,47077175.84059283,48687000.72156122,49373758.64292282,47074493.01857352
2012-11-23,55195376.08841206,67341113.6788484,53197891.74617751,54707410.79887008,68081012.89260744,59704561.0409831,54196633.917294785,63539167.553289294
2012-11-30,49389677.70537378,50115872.92213332,55571000.73157307,58682342.44120047,51076247.92906065,52967028.34586825,52480339.21847342,50193932.85218924
2012-12-07,54512119.17430959,56264697.404306106,60002752.705203384,60969084.99464495,57217713.294751965,57793273.51464319,57257435.93975648,55998176.62445589
2012-12-14,58268093.739374444,60767795.865976736,64452958.508474566,60629163.916410334,62710976.6226641,61365797.73058003,61360526.12392451,60582288.74267176
2012-12-21,72307726.92417896,77659125.57654013,64752480.68700448,57568444.773519985,81247009.08851388,70706957.40995148,68530103.80559172,77071287.19641098
2012-12-28,48344553.78536242,46682305.09762352,59771920.85263401,54759018.15013978,44457216.11189635,50803002.79953122,54058237.31899822,46494691.664960764
2013-01-04,45707981.42753482,45574361.24948858,48754519.30475976,47289696.14310954,45123012.703825325,46489914.165743604,47231250.366147295,45468451.793616235
2013-01-11,43273751.48559678,42621221.567722596,40852037.385624066,43104743.371605664,42529290.949959174,42476208.95210166,42062894.43561043,42808088.00109285
2013-01-18,43321831.09392054,42658433.78155209,39086814.05979108,41109982.27120142,42549918.29890981,41745395.90107499,41204322.57685581,42843394.39146081
2013-01-25,41457338.13956979,40391783.77594994,42679968.614313796,41464238.03594531,40861830.5019766,41371031.81355109,42068653.37694179,40903650.80583211
2013-02-01,46646184.26078458,46321142.41161005,47349657.63035208,43465738.31115233,47462554.059004664,46249055.33458074,46997920.94556833,46809960.24379977
2013-02-08,51637640.36706482,50202714.139754325,50663567.66143282,48052790.45272173,50078977.43471803,50127138.01113834,51150604.01424882,50639777.313845724
2013-02-15,50059226.44198074,50763024.57832386,49053572.59410932,47694716.62002239,50893265.63602661,49692761.17409258,49556399.51804503,50571838.88544374
2013-02-22,46385438.774015635,46249476.31158999,47861574.175255895,48161830.42445989,46249833.169099264,46981630.57088413,47123506.474635765,46294916.08490163
