Date,Actual,SARIMAX,STL,Prophet,UCM,Theta,Ensemble
2012-08-03,47485899.56,48632582.33085356,49562584.00696659,46437015.03073148,47113267.25634335,49170892.70859858,48183268.26669871
2012-08-10,47403451.04,47296645.14768562,47794334.214059934,46868555.659712546,47667951.57143137,47393899.051418684,47404277.12886163
2012-08-17,47354452.05,47872778.976886675,48453849.599272355,47788249.18203336,47379990.41226381,48027846.44714435,47904542.92352011
2012-08-24,47447323.6,48291911.11373742,48944794.023845606,48568044.64409736,46268928.451505855,47680278.08427943,47950791.263493136
2012-08-31,47159639.43,46592435.53573393,46895478.86373033,48111758.91145495,44773981.717961036,47294129.75784925,46733556.957345895
2012-09-07,48330059.31,49650050.12050507,48272794.779148,47110584.236593574,45497361.98585954,47199949.794774726,47546148.18337618
2012-09-14,44226038.65,45273909.72797947,45293955.52986324,43925792.18688592,42982782.003794864,44368136.65039354,44368915.2197834
2012-09-21,44354547.11,44377555.02939585,44208239.259400286,43193162.78677049,43251615.740430914,42930332.14329125,43592180.99185775
2012-09-28,43734899.4,43942429.14445962,43675835.35345824,44291188.53578398,43991708.42734843,43140362.97532355,43808304.887274764
2012-10-05,47566639.31,48121393.06280878,48681263.64513689,45739802.20662101,44660974.93012948,47159856.7229003,46872658.113519296
2012-10-12,46128514.25,45757855.214044586,45833668.770202264,45944133.339772195,44851686.15800349,44685687.3689004,45414606.17018459
2012-10-19,45122410.57,46961035.365709834,47266772.167036854,45110818.69128754,44577468.642297074,45371716.93425395,45857562.36011705
2012-10-26,45544116.29,46991751.63103697,47292302.952368,45009405.46516886,44337537.25728639,45669831.29528398,45860165.720228836
