model,candidate,params,fold,rmse,status,error
SARIMAX,1,"{""order"": [1, 1, 1], ""seasonal_ar"": 0}",1,2525701.146903762,ok,
SARIMAX,1,"{""order"": [1, 1, 1], ""seasonal_ar"": 0}",2,1807349.0259616296,ok,
SARIMAX,2,"{""order"": [1, 1, 1], ""seasonal_ar"": 1}",1,2328965.608717126,ok,
SARIMAX,2,"{""order"": [1, 1, 1], ""seasonal_ar"": 1}",2,1203700.551139631,ok,
SARIMAX,3,"{""order"": [1, 0, 1], ""seasonal_ar"": 0}",1,5013995.544076796,ok,
SARIMAX,3,"{""order"": [1, 0, 1], ""seasonal_ar"": 0}",2,2717760.447072711,ok,
SARIMAX,4,"{""order"": [1, 0, 1], ""seasonal_ar"": 1}",1,3226061.130026693,ok,
SARIMAX,4,"{""order"": [1, 0, 1], ""seasonal_ar"": 1}",2,1947055.0787636712,ok,
STL,1,"{""robust"": true, ""trend"": ""add""}",1,2855479.28405133,ok,
STL,1,"{""robust"": true, ""trend"": ""add""}",2,1355580.4212750953,ok,
STL,2,"{""robust"": true, ""trend"": null}",1,2869201.6755573447,ok,
STL,2,"{""robust"": true, ""trend"": null}",2,1368433.9086041867,ok,
STL,3,"{""robust"": false, ""trend"": ""add""}",1,2845148.8734728447,ok,
STL,3,"{""robust"": false, ""trend"": ""add""}",2,1238901.0288540055,ok,
STL,4,"{""robust"": false, ""trend"": null}",1,2846165.7530310946,ok,
STL,4,"{""robust"": false, ""trend"": null}",2,1268581.944040864,ok,
Prophet,1,"{""changepoint_prior_scale"": 0.01, ""seasonality_prior_scale"": 1.0}",1,2915556.4125109212,ok,
Prophet,1,"{""changepoint_prior_scale"": 0.01, ""seasonality_prior_scale"": 1.0}",2,1774572.7146615782,ok,
Prophet,2,"{""changepoint_prior_scale"": 0.01, ""seasonality_prior_scale"": 10.0}",1,2612854.2090697912,ok,
Prophet,2,"{""changepoint_prior_scale"": 0.01, ""seasonality_prior_scale"": 10.0}",2,1784353.43854949,ok,
Prophet,3,"{""changepoint_prior_scale"": 0.1, ""seasonality_prior_scale"": 1.0}",1,2466464.3680857965,ok,
Prophet,3,"{""changepoint_prior_scale"": 0.1, ""seasonality_prior_scale"": 1.0}",2,1706454.6982188567,ok,
Prophet,4,"{""changepoint_prior_scale"": 0.1, ""seasonality_prior_scale"": 10.0}",1,2478248.3136449377,ok,
Prophet,4,"{""changepoint_prior_scale"": 0.1, ""seasonality_prior_scale"": 10.0}",2,1714824.4580842552,ok,
UCM,1,"{""harmonics"": 3, ""level"": ""local level""}",1,3536565.570043693,ok,
UCM,1,"{""harmonics"": 3, ""level"": ""local level""}",2,2429055.7088356568,ok,
UCM,2,"{""harmonics"": 3, ""level"": ""local linear trend""}",1,4256999.847556865,ok,
UCM,2,"{""harmonics"": 3, ""level"": ""local linear trend""}",2,2408945.1457113423,ok,
UCM,3,"{""harmonics"": 6, ""level"": ""local level""}",1,2957002.8636733983,ok,
UCM,3,"{""harmonics"": 6, ""level"": ""local level""}",2,2116689.7660817024,ok,
UCM,4,"{""harmonics"": 6, ""level"": ""local linear trend""}",1,3093489.841991274,ok,
UCM,4,"{""harmonics"": 6, ""level"": ""local linear trend""}",2,1989266.0423546536,ok,
Theta,1,"{""deseasonalize"": true, ""theta"": 1.0}",1,2409535.88138983,ok,
Theta,1,"{""deseasonalize"": true, ""theta"": 1.0}",2,1260330.137836577,ok,
Theta,2,"{""deseasonalize"": true, ""theta"": 2.0}",1,2408473.7407536227,ok,
Theta,2,"{""deseasonalize"": true, ""theta"": 2.0}",2,1258826.169722418,ok,
Theta,3,"{""deseasonalize"": true, ""theta"": 3.0}",1,2408130.8826905387,ok,
Theta,3,"{""deseasonalize"": true, ""theta"": 3.0}",2,1258588.7271379498,ok,
Theta,4,"{""deseasonalize"": false, ""theta"": 1.0}",1,4614736.780570514,ok,
Theta,4,"{""deseasonalize"": false, ""theta"": 1.0}",2,2428445.675422247,ok,
Theta,5,"{""deseasonalize"": false, ""theta"": 2.0}",1,4556172.976422437,ok,
Theta,5,"{""deseasonalize"": false, ""theta"": 2.0}",2,2394705.9791555014,ok,
Theta,6,"{""deseasonalize"": false, ""theta"": 3.0}",1,4536835.466952413,ok,
Theta,6,"{""deseasonalize"": false, ""theta"": 3.0}",2,2383670.58930759,ok,
